column_name,local_iri,persistent_iri,theme,instrument,prefLabel_en,definition_en,datatype,value_set_id,unit,mapping_relation,mapping_uri,mapping_note
dsq_lowtemp_freq,var:dsq_lowtemp_freq,https://w3id.org/pcnn/var/dsq_lowtemp_freq,symptoms / frequency,DSQ-2,Frequency past 6 months: Feeling like you have a low temperature,DSQ-2 frequency rating for feeling as if body temperature is low.,coded,dsq-freq-0-4,,,,No public item IRI found.
dsq_flu_freq,var:dsq_flu_freq,https://w3id.org/pcnn/var/dsq_flu_freq,symptoms / frequency,DSQ-SF + DSQ-2,Frequency past 6 months: Flu-like symptoms,DSQ frequency rating for flu-like symptoms over the past 6 months.,coded,dsq-freq-0-4,,relatedMatch,http://purl.obolibrary.org/obo/NCIT_C143492,
dsq_nightawake_freq,var:dsq_nightawake_freq,https://w3id.org/pcnn/var/dsq_nightawake_freq,symptoms / frequency,DSQ-2,Frequency past 6 months: Sleeping all day and staying awake all night,DSQ-2 frequency rating for sleeping all day and staying awake all night.,coded,dsq-freq-0-4,,,,No public item IRI found.
dsq_dizzy_freq,var:dsq_dizzy_freq,https://w3id.org/pcnn/var/dsq_dizzy_freq,symptoms / frequency / POTS,DSQ-2,Frequency past 6 months: Dizziness or fainting,DSQ-2 frequency rating for dizziness or fainting over the past 6 months.,coded,dsq-freq-0-4,,relatedMatch,http://loinc.org/69712-8,
dsq_hightemp_freq,var:dsq_hightemp_freq,https://w3id.org/pcnn/var/dsq_hightemp_freq,symptoms / frequency,DSQ-2,Frequency past 6 months: Feeling like you have a high temperature,DSQ-2 frequency rating for feeling as if body temperature is high.,coded,dsq-freq-0-4,,,,No public item IRI found.
dsq_coldlimbs_freq,var:dsq_coldlimbs_freq,https://w3id.org/pcnn/var/dsq_coldlimbs_freq,symptoms / frequency,DSQ-SF + DSQ-2,Frequency past 6 months: Cold limbs,"DSQ frequency rating for cold arms, legs, hands or feet over the past 6 months.",coded,dsq-freq-0-4,,relatedMatch,http://snomed.info/id/771542000,
dsq_sensitivities_freq,var:dsq_sensitivities_freq,https://w3id.org/pcnn/var/dsq_sensitivities_freq,symptoms / frequency,DSQ-SF + DSQ-2,"Frequency past 6 months: Some smells, foods, medications or chemicals make you feel sick","DSQ frequency rating for feeling sick from some smells, foods, medications or chemicals.",coded,dsq-freq-0-4,,relatedMatch,http://snomed.info/id/16932000,
dsq_musclefatigue_sev,var:dsq_musclefatigue_sev,https://w3id.org/pcnn/var/dsq_musclefatigue_sev,symptoms / severity / PEM,DSQ-2,Severity past 6 months: Muscle fatigue after mild physical activity,DSQ-2 severity rating for muscle fatigue after mild physical activity.,coded,dsq-sev-1-4,,relatedMatch,http://purl.obolibrary.org/obo/NCIT_C189011,
dsq_pressurepain_freq,var:dsq_pressurepain_freq,https://w3id.org/pcnn/var/dsq_pressurepain_freq,symptoms / frequency,DSQ-2,Frequency past 6 months: Pressure on parts of the body causes pain in other parts,DSQ-2 frequency rating for pain referred from pressure on other body parts.,coded,dsq-freq-0-4,,,,No public item IRI found.
dsq_blackedvision_freq,var:dsq_blackedvision_freq,https://w3id.org/pcnn/var/dsq_blackedvision_freq,symptoms / frequency / POTS,DSQ-POTS + DSQ-2,Frequency past 6 months: Graying or blacking out after standing,DSQ frequency rating for graying or blacking out after standing.,coded,dsq-freq-0-4,,relatedMatch,http://loinc.org/69712-8,
dsq_pemphysical_freq,var:dsq_pemphysical_freq,https://w3id.org/pcnn/var/dsq_pemphysical_freq,symptoms / frequency / PEM,DSQ-PEM + DSQ-2,Frequency past 6 months: Worsening of symptoms after mild physical activity,DSQ frequency rating for worsening of symptoms after mild physical activity.,coded,dsq-freq-0-4,,relatedMatch,http://purl.obolibrary.org/obo/NCIT_C189011,
dsq_achingeyes_freq,var:dsq_achingeyes_freq,https://w3id.org/pcnn/var/dsq_achingeyes_freq,symptoms / frequency,DSQ-2,Frequency past 6 months: Aching of the eyes or behind the eyes,DSQ-2 frequency rating for aching of the eyes or behind the eyes.,coded,dsq-freq-0-4,,,,No public item IRI found.
dsq_headache_freq,var:dsq_headache_freq,https://w3id.org/pcnn/var/dsq_headache_freq,symptoms / frequency,DSQ-2,Frequency past 6 months: Headaches,DSQ-2 frequency rating for headaches over the past 6 months.,coded,dsq-freq-0-4,,,,No public item IRI found.
bpi_pain_where_front,var:bpi_pain_where_front,https://w3id.org/pcnn/var/bpi_pain_where_front,pain,Brief Pain Inventory,Indicate your main pain area (front),Main pain region selected on the front body map of the Brief Pain Inventory.,coded,bpi-front-26,,relatedMatch,,BPI body-map item; regions are instrument-specific.
bpi_prohibited_activity,var:bpi_prohibited_activity,https://w3id.org/pcnn/var/bpi_prohibited_activity,pain / interference,Brief Pain Inventory,Pain interference with general activity last 24 hours (0-10),"How much pain interfered with general activity during the last 24 hours (0 = no interference, 10 = complete interference).",coded,bpi-interfere-0-10,,closeMatch,http://purl.obolibrary.org/obo/NCIT_C100365,Related pain-interference concept; 24-hour 0-10 scale is from BPI.
cis_18_noenthousiasm,var:cis_18_noenthousiasm,https://w3id.org/pcnn/var/cis_18_noenthousiasm,fatigue / motivation,CIS20-R,I don't feel like doing anything,CIS20-R item: agreement with 'I don't feel like doing anything' on a 1-7 scale.,coded,cis-1-7,,relatedMatch,http://purl.obolibrary.org/obo/NCIT_C130031,Related motivation concept; this is the CIS20-R item.
cis_13_diff_focus,var:cis_13_diff_focus,https://w3id.org/pcnn/var/cis_13_diff_focus,fatigue / concentration,CIS20-R,It takes a lot of effort to concentrate on things,"CIS20-R item: agreement with difficulty concentrating, 1-7 scale.",coded,cis-1-7,,relatedMatch,http://purl.obolibrary.org/obo/NCIT_C130026,Related concentration concept; this is the CIS20-R item.
cis_14_phys_bad,var:cis_14_phys_bad,https://w3id.org/pcnn/var/cis_14_phys_bad,fatigue / energy,CIS20-R,Physically I feel I am in bad form,CIS20-R item: agreement with 'Physically I feel I am in bad form' on a 1-7 scale.,coded,cis-1-7,,relatedMatch,http://purl.obolibrary.org/obo/NCIT_C130027,Related physical-fatigue concept; not an exact CIS item code.
employment_status,var:employment_status,https://w3id.org/pcnn/var/employment_status,demographics / work,none,Which situation applies to you most regarding paid work?,Current main employment or income situation.,coded,employment-10,,relatedMatch,http://loinc.org/67875-5,Employment-status topic only; PCNN options are study-specific.
income,var:income,https://w3id.org/pcnn/var/income,demographics / work,none,Net monthly household income,"Net monthly household income in euro bands, including partner income if the household is shared.",coded,income-13,,relatedMatch,http://loinc.org/98161-3,Income topic only; euro cut-points are PCNN-specific.
onbehalf_who,var:onbehalf_who,https://w3id.org/pcnn/var/onbehalf_who,participation,none,What is your relation to the person for whom you provide information?,Relationship of the informant to the study participant when completing on behalf of someone else.,coded,onbehalf-8,,relatedMatch,,Local informant-relationship item.
onbehalf_who_t,var:onbehalf_who_t,https://w3id.org/pcnn/var/onbehalf_who_t,participation,none,How are you related?,Free-text description of the relationship when completing on behalf of someone else.,text,,,relatedMatch,http://purl.obolibrary.org/obo/NCIT_C83393,
howheardstudy,var:howheardstudy,https://w3id.org/pcnn/var/howheardstudy,participation,none,How did you hear about the post-COVID research?,How the respondent learned about the PCNN study.,coded,howheard-7,,relatedMatch,http://snomed.info/id/780816009,
invitation,var:invitation,https://w3id.org/pcnn/var/invitation,participation,none,Which research or organization invited you?,Recruitment source that invited the respondent.,coded,invitation-3,,relatedMatch,http://purl.obolibrary.org/obo/NCIT_C93448,
studycodept,var:studycodept,https://w3id.org/pcnn/var/studycodept,participation / contact,none,Research code received by email or letter,Study linkage code sent to the participant so questionnaire data can be joined to other PCNN data.,text,,,relatedMatch,,Local linkage identifier; not a clinical concept.
contact_GP,var:contact_GP,https://w3id.org/pcnn/var/contact_GP,permissions,none,Enter your GP contact details,Free-text general practitioner contact details provided by the respondent.,text,,,relatedMatch,http://purl.obolibrary.org/obo/NCIT_C60776,
hospital_end,var:hospital_end,https://w3id.org/pcnn/var/hospital_end,COVID-19,none,Date discharged from hospital,Date the respondent was discharged from hospital; estimation is allowed.,date,,,closeMatch,http://loinc.org/8649-6,Discharge-date concept; PCNN item allows an estimate.
hosptial,var:hosptial,https://w3id.org/pcnn/var/hosptial,COVID-19,none,Hospital admission due to corona infection before long-term symptoms,Whether the respondent was admitted to hospital for a coronavirus infection before long-term symptoms started.,coded,yes-no,,relatedMatch,http://purl.obolibrary.org/obo/NCIT_C25179,Column name keeps the original codebook spelling.
hospital_treat,var:hospital_treat,https://w3id.org/pcnn/var/hospital_treat,COVID-19,none,What applied during hospital admission,Whether ICU admission and/or oxygen treatment applied during hospital admission.,coded,hospital-treat-3,,relatedMatch,http://snomed.info/id/32485007,
Nxinfected,var:Nxinfected,https://w3id.org/pcnn/var/Nxinfected,COVID-19,none,Estimated number of coronavirus infections since February 2020,How often the respondent thinks they were infected with SARS-CoV-2 since the start of the pandemic in the Netherlands.,number,,,relatedMatch,http://snomed.info/id/840539006,
Nxinfected_confirm,var:Nxinfected_confirm,https://w3id.org/pcnn/var/Nxinfected_confirm,COVID-19,none,Number of infections confirmed by a positive test,How many of the reported infections were confirmed with a positive test.,number,,,relatedMatch,,
pos_test,var:pos_test,https://w3id.org/pcnn/var/pos_test,COVID-19,none,Positive test before long-term coronavirus complaints,Whether the respondent tested positive before long-term coronavirus complaints started.,coded,yes-no,,relatedMatch,,
pos_test_type,var:pos_test_type,https://w3id.org/pcnn/var/pos_test_type,COVID-19,none,Type of coronavirus test for this result,Type of test used for the reported positive coronavirus result.,coded,pos-test-type-5,,relatedMatch,http://snomed.info/id/246246002,
pos_test_date,var:pos_test_date,https://w3id.org/pcnn/var/pos_test_date,COVID-19,none,Date of this coronavirus test,Date of the reported coronavirus test; estimation is allowed.,date,,,relatedMatch,http://purl.obolibrary.org/obo/NCIT_C82512,
pc_confirmedby,var:pc_confirmedby,https://w3id.org/pcnn/var/pc_confirmedby,COVID-19,none,Who told you that you had long COVID / post-COVID syndrome?,Source of the long-COVID or post-COVID syndrome attribution.,coded,pc-confirmedby-6,,relatedMatch,http://snomed.info/id/1119303003,
vaccin,var:vaccin,https://w3id.org/pcnn/var/vaccin,COVID-19 / vaccination,none,Have you been vaccinated against the coronavirus?,Whether the respondent received any SARS-CoV-2 vaccination.,coded,yes-no-unknown,,relatedMatch,http://loinc.org/97073-1,
vaccin_N,var:vaccin_N,https://w3id.org/pcnn/var/vaccin_N,COVID-19 / vaccination,none,Number of coronavirus vaccinations,How many coronavirus vaccinations the respondent has received.,number,,,relatedMatch,http://loinc.org/97073-1,
vaccin_LTc_Nvacc,var:vaccin_LTc_Nvacc,https://w3id.org/pcnn/var/vaccin_LTc_Nvacc,COVID-19 / vaccination,none,After how many vaccinations did vaccine-related long-term complaints start?,Number of coronavirus vaccinations received before long-term complaints attributed to vaccination started.,number,,,relatedMatch,,
vaccin_LTc_date,var:vaccin_LTc_date,https://w3id.org/pcnn/var/vaccin_LTc_date,COVID-19 / vaccination,none,Date of the vaccination linked to post-COVID vaccination syndrome,Date of the vaccination after which post-COVID vaccination syndrome started; estimation allowed.,date,,,relatedMatch,,
vaccin_LTc_Nvirus,var:vaccin_LTc_Nvirus,https://w3id.org/pcnn/var/vaccin_LTc_Nvirus,COVID-19 / vaccination,none,Vaccinations received before coronavirus-related long-term complaints,Number of vaccinations received before long-term complaints attributed to the coronavirus started.,number,,,relatedMatch,,
vaccin_LTc_other,var:vaccin_LTc_other,https://w3id.org/pcnn/var/vaccin_LTc_other,COVID-19 / vaccination,none,Long-term complaints after a non-COVID vaccination,"Whether the respondent ever had long-term complaints after a non-COVID vaccination, for example a travel vaccine or flu shot.",coded,vaccin-ltc-other,,relatedMatch,http://loinc.org/66375-7,
whodiagnosed,var:whodiagnosed,https://w3id.org/pcnn/var/whodiagnosed,COVID-19 / vaccination,none,Who told you that you had post-COVID vaccination syndrome?,Source of the post-COVID vaccination syndrome attribution.,coded,pc-confirmedby-6,,relatedMatch,,
LTcompl_virus,var:LTcompl_virus,https://w3id.org/pcnn/var/LTcompl_virus,long-term complaints / COVID-19,none,Current long-term health complaints due to the coronavirus,Whether the respondent currently has long-term health complaints attributed to the coronavirus.,coded,yes-no-recovered,,relatedMatch,http://snomed.info/id/1119304009,
LTcompl_virus_start,var:LTcompl_virus_start,https://w3id.org/pcnn/var/LTcompl_virus_start,long-term complaints / COVID-19,none,Approximate start date of coronavirus-related long-term complaints,Estimated start date of long-term complaints attributed to the coronavirus.,date,,,relatedMatch,http://snomed.info/id/298059007,
LTcompl_virus_recover,var:LTcompl_virus_recover,https://w3id.org/pcnn/var/LTcompl_virus_recover,long-term complaints / COVID-19,none,Approximate recovery date from coronavirus-related long-term complaints,Estimated date of recovery from long-term complaints attributed to the coronavirus.,date,,,relatedMatch,,
LTcompl_vacc,var:LTcompl_vacc,https://w3id.org/pcnn/var/LTcompl_vacc,long-term complaints / vaccination,none,Current long-term health complaints due to a coronavirus vaccination,Whether the respondent currently has long-term health complaints attributed to a coronavirus vaccination.,coded,yes-no-recovered,,relatedMatch,http://snomed.info/id/293104008,
LTcompl_vacc_recover,var:LTcompl_vacc_recover,https://w3id.org/pcnn/var/LTcompl_vacc_recover,long-term complaints / vaccination,none,Approximate recovery date from vaccine-related long-term complaints,Estimated date of recovery from long-term complaints attributed to the coronavirus vaccine.,date,,,relatedMatch,http://snomed.info/id/293104008,
depression_history,var:depression_history,https://w3id.org/pcnn/var/depression_history,mental health,none,Have you ever suffered from depressive symptoms?,"Lifetime history of depressive symptoms, with optional year of last episode.",coded,depression-history,,relatedMatch,http://snomed.info/id/394924000,
s31_skin_where,var:s31_skin_where,https://w3id.org/pcnn/var/s31_skin_where,symptoms / POTS,COMPASS-31,Which body parts are affected by these colour changes?,COMPASS-31 item: body regions affected by skin colour changes.,coded,s31-skin-2,,relatedMatch,http://snomed.info/id/364533002,
c31_dry_mouth,var:c31_dry_mouth,https://w3id.org/pcnn/var/c31_dry_mouth,symptoms / POTS,COMPASS-31,Does your mouth feel abnormally dry?,COMPASS-31 item asking whether the mouth feels abnormally dry.,coded,c31-dry-mouth,,closeMatch,http://loinc.org/63981-5,Close to PhenX/LOINC 63981-5 ('frequently dry') but this is the COMPASS-31 wording ('abnormally dry').
c31_drrhea_freq_n,var:c31_drrhea_freq_n,https://w3id.org/pcnn/var/c31_drrhea_freq_n,symptoms / POTS,COMPASS-31,How many times per month? (diarrhea),COMPASS-31 count of diarrhea episodes per month.,number,,/mo,relatedMatch,http://loinc.org/69711-0,
c31_bladder_freq_n,var:c31_bladder_freq_n,https://w3id.org/pcnn/var/c31_bladder_freq_n,symptoms / POTS,COMPASS-31,How many times per month? (bladder),COMPASS-31 count of bladder-related episodes per month.,number,,/mo,relatedMatch,,
c31_eyes_change,var:c31_eyes_change,https://w3id.org/pcnn/var/c31_eyes_change,symptoms / POTS,COMPASS-31,This most annoying eye complaint is,COMPASS-31 item identifying the most annoying eye complaint.,text,,,relatedMatch,,
calcc31_eyes_change,var:calcc31_eyes_change,https://w3id.org/pcnn/var/calcc31_eyes_change,symptoms / POTS,COMPASS-31,COMPASS dependency (eyes),Derived COMPASS-31 eyes-change dependency score calculated by the study pipeline.,number,,,,,Derived variable; not a questionnaire item.
permission,var:permission,https://w3id.org/pcnn/var/permission,permissions,none,May we contact you for additional scientific research?,Consent to be approached for additional PCNN scientific research.,coded,permission-2,,relatedMatch,http://purl.obolibrary.org/obo/NCIT_C125453,
permission_pc,var:permission_pc,https://w3id.org/pcnn/var/permission_pc,permissions,none,Consent form for post-COVID research,Record that the post-COVID research consent form was presented or completed.,text,,,relatedMatch,http://snomed.info/id/75554001,
persmission_postvacc,var:persmission_postvacc,https://w3id.org/pcnn/var/persmission_postvacc,permissions,none,Consent form for post-COVID vaccination complaints research,Record that the post-vaccination complaints consent form was presented or completed. Column name keeps the original codebook spelling.,text,,,relatedMatch,http://snomed.info/id/75554001,
permissions_check,var:permissions_check,https://w3id.org/pcnn/var/permissions_check,permissions,none,Confirmation that additional-research permission was not given,Check item confirming that the respondent did not give permission to be approached for additional research.,coded,permissions-check,,,,
travel,var:travel,https://w3id.org/pcnn/var/travel,permissions,none,Able and willing to travel for additional research,Whether the respondent can travel to take part in additional research.,coded,travel-3,,relatedMatch,,
contact,var:contact,https://w3id.org/pcnn/var/contact,permissions,none,May we contact you for a telephone or video appointment?,Consent to be contacted by phone or video for additional research.,coded,yes-no,,relatedMatch,,
